,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
10,lou amundson,2014-15,32.0,TOT,NBA,53,35.0,937.0,11.8,0.004,0.341,11.3,22.0,16.5,12.2,1.2,4.6,17.5,17.4,92.0,106.0,-0.6,0.9,0.3,0.017,-4.0,2.0,-2.0,0.0,California,Black and White,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas",2014-2015,397,"Lou Amundson, PF",New York Knicks,409167
11,chris andersen,2014-15,36.0,MIA,NBA,60,20.0,1132.0,16.1,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,121.0,103.0,2.1,1.5,3.6,0.151,-1.2,2.3,1.0,0.9,California,Black and White,2002,2016,F-C,6-10,245,"July 7, 1978",Blinn College,2014-2015,120,"Chris Andersen, PF",Miami Heat,5375000
12,alan anderson,2014-15,32.0,BRK,NBA,74,19.0,1744.0,10.6,0.477,0.23,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,109.0,109.0,1.7,1.1,2.7,0.075,0.0,-0.5,-0.5,0.6,Minnesota,Black,2006,2016,G-F,6-6,220,"October 16, 1982",Michigan State University,2014-2015,306,"Alan Anderson, SG",Brooklyn Nets,1276061
13,kyle anderson,2014-15,21.0,SAS,NBA,33,8.0,358.0,8.2,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,87.0,100.0,-0.3,0.6,0.3,0.044,-5.2,2.4,-2.7,-0.1,New York,Others,2015,2016,G-F,6-9,230,"September 20, 1993","University of California, Los Angeles",2014-2015,332,"Kyle Anderson, SF",San Antonio Spurs,1093680
14,ryan anderson,2014-15,26.0,NOP,NBA,61,5.0,1675.0,15.6,0.492,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,109.0,110.0,2.6,0.9,3.5,0.1,2.0,-3.1,-1.1,0.4,California,Black and White,2009,2016,F,6-10,240,"May 6, 1988",University of California,2014-2015,69,"Ryan Anderson, PF",New Orleans Pelicans,8491500
15,giannis antetokounmpo,2014-15,20.0,MIL,NBA,81,71.0,2541.0,14.8,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,105.0,101.0,2.2,4.0,6.2,0.117,-1.7,2.1,0.5,1.6,Greece,Black,2014,2016,F-G,6-11,222,"December 6, 1994",,2014-2015,262,"Giannis Antetokounmpo, SF",Milwaukee Bucks,1873200
16,carmelo anthony,2014-15,30.0,NYK,NBA,40,40.0,1428.0,21.5,0.222,0.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,106.0,110.0,2.2,0.6,2.9,0.097,3.5,-2.2,1.4,1.2,New York,Black,2004,2016,F,6-8,240,"May 29, 1984",Syracuse University,2014-2015,3,"Carmelo Anthony, SF",New York Knicks,22458401
17,joel anthony,2014-15,32.0,DET,NBA,49,0.0,406.0,14.7,0.0,0.355,8.2,17.0,12.4,1.8,1.5,9.5,14.3,9.1,119.0,100.0,0.5,0.7,1.2,0.142,-3.4,4.8,1.4,0.3,Canada,Black,2008,2016,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",2014-2015,166,"Joel Anthony, C",Detroit Pistons,3800000
18,pero antic,2014-15,32.0,ATL,NBA,63,3.0,1037.0,9.5,0.584,0.416,6.6,14.0,10.4,6.9,0.9,1.1,12.3,17.6,102.0,106.0,0.5,1.0,1.5,0.07,-1.3,-1.4,-2.7,-0.2,Macedonia,White,2014,2015,F,6-11,260,"July 29, 1982",,2014-2015,309,"Pero Antic, PF",Atlanta Hawks,1250000
19,trevor ariza,2014-15,29.0,HOU,NBA,82,82.0,2930.0,12.7,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,107.0,103.0,2.7,3.9,6.6,0.108,0.6,1.3,1.9,2.9,California,Black,2005,2016,F,6-8,215,"June 30, 1985","University of California, Los Angeles",2014-2015,66,"Trevor Ariza, SF",Houston Rockets,8579089
20,darrell arthur,2014-15,26.0,DEN,NBA,58,4.0,988.0,11.5,0.286,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20.0,97.0,106.0,-0.1,0.9,0.9,0.042,-1.8,0.7,-1.1,0.2,Texas,Black,2009,2016,F,6-9,235,"March 25, 1988",University of Kansas,2014-2015,175,"Darrell Arthur, PF",Denver Nuggets,3457149
21,omer asik,2014-15,28.0,NOP,NBA,76,76.0,1982.0,15.5,0.0,0.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,112.0,105.0,2.8,2.2,5.0,0.12,-1.3,0.6,-0.7,0.6,Turkey,White,2011,2016,C,7-0,255,"July 4, 1986",,2014-2015,71,"Omer Asik, C",New Orleans Pelicans,8374646
22,dj augustin,2014-15,27.0,TOT,NBA,82,14.0,1964.0,13.9,0.38,0.317,1.1,7.9,4.4,28.2,1.3,0.1,16.4,19.8,107.0,110.0,2.5,0.9,3.4,0.083,0.2,-2.7,-2.5,-0.3,Louisiana,Black,2009,2016,G,6-0,183,"November 10, 1987",University of Texas at Austin,2014-2015,206,"D.J. Augustin, PG",Oklahoma City Thunder,3000000
23,jeff ayres,2014-15,27.0,SAS,NBA,51,0.0,383.0,14.4,0.0,0.379,11.2,23.3,17.3,5.5,1.1,1.6,19.0,16.3,112.0,101.0,0.6,0.6,1.2,0.147,-2.1,0.4,-1.7,0.0,California,Black and White,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University,2014-2015,264,"Jeff Ayres, PF",San Antonio Spurs,1828750
24,luke babbitt,2014-15,25.0,NOP,NBA,63,19.0,830.0,11.1,0.599,0.099,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,117.0,110.0,1.1,0.5,1.6,0.092,0.0,-1.4,-1.4,0.1,Ohio,White,2011,2016,F,6-9,225,"June 20, 1989","University of Nevada, Reno",2014-2015,340,"Luke Babbitt, SF",New Orleans Pelicans,981084
25,jj barea,2014-15,30.0,DAL,NBA,77,10.0,1362.0,15.1,0.312,0.175,1.8,9.0,5.4,29.5,1.2,0.1,10.8,21.2,109.0,110.0,2.1,0.6,2.7,0.096,1.0,-2.5,-1.5,0.2,Puerto Rico,White,2007,2016,G,6-0,185,"June 26, 1984",Northeastern University,2014-2015,357,"J.J. Barea, PG",Dallas Mavericks,909859
26,andrea bargnani,2014-15,29.0,NYK,NBA,29,22.0,785.0,16.6,0.114,0.296,4.6,14.4,9.3,11.3,0.1,2.9,9.3,26.4,104.0,113.0,0.8,0.2,0.9,0.058,-1.0,-2.7,-3.7,-0.3,Italy,White,2007,2016,F-C,7-0,245,"October 26, 1985",,2014-2015,44,"Andrea Bargnani, C",New York Knicks,11500000
27,harrison barnes,2014-15,22.0,GSW,NBA,82,82.0,2318.0,13.4,0.328,0.229,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,116.0,104.0,3.7,3.0,6.7,0.139,0.5,0.6,1.1,1.8,Iowa,Black,2013,2016,F,6-8,210,"May 30, 1992",University of North Carolina,2014-2015,199,"Harrison Barnes, SF",Golden State Warriors,3049920
28,matt barnes,2014-15,34.0,LAC,NBA,76,74.0,2271.0,11.3,0.603,0.152,2.6,12.2,7.5,7.2,1.5,1.8,11.6,14.9,108.0,107.0,2.2,2.1,4.3,0.091,0.9,0.7,1.6,2.1,California,Black and White,2004,2016,F,6-7,226,"March 9, 1980","University of California, Los Angeles",2014-2015,177,"Matt Barnes, SF",Los Angeles Clippers,3396250
29,earl barron,2014-15,33.0,PHO,NBA,16,1.0,143.0,5.0,0.103,0.308,10.6,10.8,10.7,4.9,1.4,1.1,10.1,15.1,87.0,108.0,-0.1,0.1,0.0,-0.011,-5.0,-0.9,-5.9,-0.1,Mississippi,Black,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis,2014-2015,414,"Earl Barron, C",Phoenix Suns,183049
30,brandon bass,2014-15,29.0,BOS,NBA,82,43.0,1929.0,16.3,0.047,0.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,112.0,106.0,3.4,1.9,5.3,0.132,-0.4,-0.1,-0.5,0.7,Louisiana,Black,2006,2016,F,6-8,250,"April 30, 1985",Louisiana State University,2014-2015,90,"Brandon Bass, PF",Boston Celtics,6900000
31,nicolas batum,2014-15,26.0,POR,NBA,71,71.0,2380.0,13.1,0.515,0.163,2.8,15.6,9.4,20.5,1.7,1.2,17.0,14.6,106.0,103.0,2.0,3.2,5.2,0.105,0.6,2.6,3.1,3.1,France,White,2009,2016,F-G,6-8,200,"December 14, 1988",,2014-2015,42,"Nicolas Batum, SG",Portland Trail Blazers,11765500
32,aron baynes,2014-15,28.0,SAS,NBA,70,17.0,1122.0,15.9,0.012,0.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,116.0,103.0,2.3,1.6,3.9,0.166,-0.7,-0.2,-1.0,0.3,New Zealand,White,2013,2016,F-C,6-10,260,"December 9, 1986",Washington State University,2014-2015,249,"Aron Baynes, C",San Antonio Spurs,2077000
33,kent bazemore,2014-15,25.0,ATL,NBA,75,10.0,1324.0,9.7,0.399,0.302,1.9,16.8,9.6,8.6,2.0,2.1,16.3,15.5,94.0,102.0,-0.4,1.9,1.6,0.057,-3.1,1.3,-1.8,0.1,North Carolina ,Black,2013,2016,G-F,6-5,201,"July 1, 1989",Old Dominion University,2014-2015,257,"Kent Bazemore, SF",Atlanta Hawks,2000000
34,bradley beal,2014-15,21.0,WAS,NBA,63,59.0,2107.0,14.0,0.304,0.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,102.0,105.0,1.3,2.4,3.7,0.085,0.5,-0.1,0.5,1.3,Missouri,Black,2013,2016,G,6-5,207,"June 28, 1993",University of Florida,2014-2015,143,"Bradley Beal, SG",Washington Wizards,4505280
35,michael beasley,2014-15,26.0,MIA,NBA,24,1.0,505.0,10.6,0.16,0.123,2.9,17.9,10.6,11.5,1.6,2.2,14.2,24.2,89.0,106.0,-0.6,0.5,-0.1,-0.007,-4.3,-0.4,-4.7,-0.3,Maryland,Black,2009,2016,F,6-9,235,"January 9, 1989",Kansas State University,2014-2015,412,"Michael Beasley, SF",Miami Heat,195440
36,marco belinelli,2014-15,28.0,SAS,NBA,62,9.0,1388.0,12.4,0.489,0.211,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,107.0,106.0,1.5,1.4,2.9,0.1,0.6,-1.1,-0.5,0.5,Italy,White,2008,2016,G-F,6-5,210,"March 25, 1986",,2014-2015,213,"Marco Belinelli, SG",San Antonio Spurs,2873750
37,anthony bennett,2014-15,21.0,MIN,NBA,57,3.0,894.0,11.4,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10.0,17.8,96.0,111.0,-0.1,0.4,0.3,0.017,-3.6,-1.2,-4.8,-0.6,Canada,Black,2014,2016,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas",2014-2015,112,"Anthony Bennett, PF",Minnesota Timberwolves,5563920
38,bismack biyombo,2014-15,22.0,CHO,NBA,64,21.0,1243.0,15.2,0.0,0.941,13.7,22.6,18.0,2.0,0.7,6.3,16.5,11.6,115.0,99.0,1.8,2.2,4.0,0.156,-3.2,2.8,-0.4,0.5,Congo,Black,2012,2016,C-F,6-9,245,"August 28, 1992",,2014-2015,164,"Bismack Biyombo, C",Charlotte Hornets,3873398
39,tarik black,2014-15,23.0,TOT,NBA,63,39.0,1196.0,14.7,0.004,0.432,12.8,21.4,17.0,5.6,0.8,1.6,12.9,13.8,118.0,108.0,2.2,0.9,3.1,0.124,-1.0,-0.6,-1.6,0.1,Tennessee,Black,2015,2016,C-F,6-9,250,"November 22, 1991",University of Kansas,2014-2015,390,"Tarik Black, C",Los Angeles Lakers,507336
40,dejuan blair,2014-15,25.0,WAS,NBA,29,0.0,180.0,7.7,0.0,0.105,10.3,24.5,17.5,2.6,2.0,0.4,17.9,18.3,88.0,100.0,-0.2,0.3,0.1,0.033,-6.4,-1.0,-7.4,-0.2,Pennsylvania,Black,2010,2016,F-C,6-7,270,"April 22, 1989",University of Pittsburgh,2014-2015,256,"DeJuan Blair, C",Washington Wizards,2000000
41,eric bledsoe,2014-15,25.0,PHO,NBA,81,81.0,2800.0,18.4,0.26,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,107.0,106.0,4.1,2.9,7.0,0.119,1.7,0.9,2.6,3.3,Alabama,Black,2011,2016,G,6-1,190,"December 9, 1989",University of Kentucky,2014-2015,31,"Eric Bledsoe, PG",Phoenix Suns,13000000
42,bojan bogdanovic,2014-15,25.0,BRK,NBA,78,28.0,1854.0,11.6,0.444,0.184,3.0,9.8,6.4,5.8,0.9,0.4,11.1,17.2,106.0,111.0,1.7,0.7,2.4,0.062,0.0,-1.9,-1.8,0.1,Bosnia and Herzegovina,White,2015,2016,G-F,6-8,216,"April 18, 1989",,2014-2015,188,"Bojan Bogdanovic, SG",Brooklyn Nets,3278000
43,andrew bogut,2014-15,30.0,GSW,NBA,67,65.0,1583.0,15.8,0.0,0.118,9.9,26.5,18.5,15.4,1.2,5.3,22.1,13.2,110.0,97.0,1.9,3.4,5.2,0.159,-1.4,5.5,4.1,2.4,Australia,White,2006,2016,C,7-0,260,"November 28, 1984",University of Utah,2014-2015,32,"Andrew Bogut, C",Golden State Warriors,12972973
44,matt bonner,2014-15,34.0,SAS,NBA,72,19.0,935.0,10.1,0.548,0.161,3.6,10.2,7.0,7.1,0.5,1.0,4.3,12.5,116.0,107.0,1.3,0.9,2.1,0.11,-0.2,-0.7,-0.9,0.3,New Hampshire,White,2005,2016,F,6-10,235,"April 5, 1980",University of Florida,2014-2015,351,"Matt Bonner, C",San Antonio Spurs,915243
45,carlos boozer,2014-15,33.0,LAL,NBA,71,26.0,1692.0,16.4,0.0,0.202,7.0,25.2,15.7,10.3,1.2,0.6,10.2,23.7,102.0,109.0,1.2,1.0,2.2,0.062,-1.8,-1.5,-3.3,-0.6,Germany,Black,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University,2014-2015,191,"Carlos Boozer, PF",Los Angeles Lakers,3251000
46,chris bosh,2014-15,30.0,MIA,NBA,44,44.0,1556.0,19.8,0.226,0.311,3.6,20.0,12.0,12.0,1.4,1.4,10.1,28.4,106.0,106.0,2.1,1.5,3.6,0.111,1.0,-1.0,-0.1,0.8,Texas,Black,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology,2014-2015,5,"Chris Bosh, PF",Miami Heat,20644400
47,avery bradley,2014-15,24.0,BOS,NBA,77,77.0,2428.0,11.5,0.348,0.099,2.0,8.9,5.4,8.9,1.7,0.5,9.4,21.0,99.0,107.0,0.4,2.1,2.5,0.049,-0.8,-0.9,-1.7,0.2,Washington,Black,2011,2016,G,6-2,180,"November 26, 1990",University of Texas at Austin,2014-2015,83,"Avery Bradley, PG",Boston Celtics,7191011
48,corey brewer,2014-15,28.0,TOT,NBA,80,17.0,2087.0,13.9,0.292,0.281,4.2,11.7,7.9,13.8,2.7,0.7,12.7,21.6,101.0,106.0,1.0,2.1,3.1,0.071,-0.8,-0.3,-1.1,0.5,Tennessee,Black,2008,2016,F-G,6-9,186,"March 5, 1986",University of Florida,2014-2015,139,"Corey Brewer, SG",Minnesota Timberwolves,4702500
49,lorenzo brown,2014-15,24.0,MIN,NBA,29,7.0,549.0,11.0,0.23,0.156,2.8,12.0,7.3,24.9,2.6,0.9,18.7,12.9,99.0,111.0,0.1,0.2,0.3,0.025,-1.9,-0.6,-2.6,-0.1,Georgia,Black,2014,2016,G,6-5,189,"August 26, 1990",North Carolina State University,2014-2015,404,"Lorenzo Brown, PG",Minnesota Timberwolves,283367
50,kobe bryant,2014-15,36.0,LAL,NBA,35,35.0,1207.0,17.6,0.258,0.338,2.3,16.5,9.1,29.9,2.0,0.5,13.5,34.9,96.0,110.0,-0.4,0.6,0.2,0.006,1.6,-1.3,0.3,0.7,Pennsylvania,Black,1997,2016,G-F,6-6,212,"August 23, 1978",,2014-2015,1,"Kobe Bryant, SF",Los Angeles Lakers,23500000
51,chase budinger,2014-15,26.0,MIN,NBA,67,4.0,1286.0,12.2,0.367,0.208,2.8,15.1,8.8,8.0,1.7,0.6,10.3,16.3,106.0,113.0,1.1,0.2,1.3,0.049,-0.9,-1.9,-2.8,-0.3,California,White,2010,2016,F,6-7,209,"May 22, 1988",University of Arizona,2014-2015,130,"Chase Budinger, SF",Minnesota Timberwolves,5000000
52,reggie bullock,2014-15,23.0,TOT,NBA,36,2.0,338.0,6.2,0.657,0.129,0.3,16.0,8.3,3.2,1.5,0.9,9.8,10.9,88.0,106.0,-0.2,0.3,0.1,0.019,-3.6,-0.4,-4.0,-0.2,Maryland ,Black,2014,2016,G-F,6-7,205,"March 16, 1991",University of North Carolina,2014-2015,315,"Reggie Bullock, SF",Phoenix Suns,1200720
53,trey burke,2014-15,22.0,UTA,NBA,76,43.0,2288.0,12.6,0.388,0.144,1.6,8.7,5.2,25.0,1.5,0.5,10.4,23.9,100.0,108.0,0.8,1.6,2.4,0.05,0.0,-1.9,-1.9,0.1,Ohio,Black,2014,2016,G,6-1,191,"November 12, 1992",University of Michigan,2014-2015,225,"Trey Burke, PG",Utah Jazz,2548560
54,alec burks,2014-15,23.0,UTA,NBA,27,27.0,899.0,13.0,0.227,0.43,2.5,12.1,7.3,15.2,1.0,0.4,12.7,20.8,107.0,109.0,1.1,0.6,1.7,0.089,-0.4,-1.1,-1.6,0.1,Missouri,Black,2012,2016,G,6-6,214,"July 20, 1991",University of Colorado,2014-2015,200,"Alec Burks, SG",Utah Jazz,3034356
55,caron butler,2014-15,34.0,DET,NBA,78,21.0,1623.0,9.3,0.553,0.154,1.4,12.2,6.6,7.3,1.4,0.2,10.4,12.9,108.0,109.0,1.3,1.0,2.4,0.07,-1.0,-0.5,-1.5,0.2,Wisconsin,Black,2003,2016,F,6-7,228,"March 13, 1980",University of Connecticut,2014-2015,144,"Caron Butler, SF",Detroit Pistons,4500000
56,jimmy butler,2014-15,25.0,CHI,NBA,65,65.0,2513.0,21.3,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1.0,7.7,21.6,122.0,104.0,8.2,3.0,11.2,0.214,4.1,0.6,4.7,4.2,Texas,Black,2012,2016,G-F,6-7,220,"September 14, 1989",Marquette University,2014-2015,254,"Jimmy Butler, SG",Chicago Bulls,2008748
57,will bynum,2014-15,32.0,WAS,NBA,7,0.0,67.0,4.8,0.29,0.129,3.4,6.6,5.0,42.2,0.8,1.2,19.6,27.6,77.0,107.0,-0.2,0.1,-0.2,-0.132,-5.8,-3.3,-9.1,-0.1,Illinois,Black,2006,2015,G,6-0,185,"January 4, 1983",Georgia Institute of Technology,2014-2015,211,"Will Bynum, PG",Washington Wizards,2915908
58,bruno caboclo,2014-15,19.0,TOR,NBA,8,0.0,23.0,-1.8,0.25,0.0,5.0,5.0,5.0,0.0,0.0,3.5,25.0,31.5,65.0,113.0,-0.1,0.0,-0.1,-0.275,-12.6,-6.3,-18.9,-0.1,Brazil,Black,2015,2016,F,6-9,205,"September 21, 1995",,2014-2015,289,"Bruno Caboclo, SF",Toronto Raptors,1458360
59,nick calathes,2014-15,25.0,MEM,NBA,58,0.0,838.0,12.3,0.174,0.182,2.6,11.8,7.2,26.6,3.9,0.5,18.6,17.9,93.0,99.0,-0.4,1.5,1.1,0.065,-2.1,1.8,-0.3,0.4,Florida,White,2014,2015,G,6-6,213,"February 7, 1989",University of Florida,2014-2015,371,"Nick Calathes, SG",Memphis Grizzlies,816482
60,jose calderon,2014-15,33.0,NYK,NBA,42,42.0,1270.0,11.3,0.401,0.09,1.7,9.8,5.6,25.6,1.3,0.0,16.9,16.1,103.0,113.0,0.8,0.1,0.9,0.033,-0.5,-2.6,-3.2,-0.4,Spain,White,2006,2016,G,6-3,200,"September 28, 1981",,2014-2015,85,"Jose Calderon, PG",New York Knicks,7097191
61,kentavious caldwell-pope,2014-15,21.0,DET,NBA,82,82.0,2587.0,11.2,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,101.0,109.0,1.1,1.8,2.8,0.052,-0.2,-0.9,-1.0,0.6,Georgia,Black,2014,2016,G,6-5,205,"February 18, 1993",University of Georgia,2014-2015,215,"Kentavious Caldwell-Pope, SG",Detroit Pistons,2772480
62,isaiah canaan,2014-15,23.0,TOT,NBA,47,21.0,938.0,12.4,0.651,0.159,2.1,8.3,5.1,18.7,1.5,0.3,13.3,21.6,103.0,108.0,0.8,0.7,1.4,0.072,0.7,-2.9,-2.2,-0.1,Mississippi,Black,2014,2016,G,6-0,201,"May 21, 1991",Murray State University,2014-2015,365,"Isaiah Canaan, PG",Philadelphia 76ers,816842
63,clint capela,2014-15,20.0,HOU,NBA,12,0.0,90.0,12.1,0.0,0.793,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,84.0,97.0,-0.2,0.2,0.0,0.019,-8.8,1.0,-7.8,-0.1,Switzerland,Black,2015,2016,C,6-10,240,"May 18, 1994",,2014-2015,316,"Clint Capela, PF",Houston Rockets,1189200
64,demarre carroll,2014-15,28.0,ATL,NBA,70,69.0,2189.0,15.9,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,117.0,104.0,4.3,2.8,7.0,0.154,2.4,0.5,2.9,2.7,Alabama,Black,2010,2016,F,6-8,212,"July 27, 1986",University of Missouri,2014-2015,228,"DeMarre Carroll, SF",Atlanta Hawks,2442455
65,vince carter,2014-15,38.0,MEM,NBA,66,1.0,1091.0,9.6,0.571,0.14,2.8,11.1,7.0,11.1,2.1,1.1,9.1,19.9,94.0,103.0,-0.5,1.4,1.0,0.043,-1.1,-0.3,-1.4,0.2,Florida,Black and White,1999,2016,G-F,6-6,220,"January 26, 1977",University of North Carolina,2014-2015,161,"Vince Carter, SG",Memphis Grizzlies,3911981
66,michael carter-williams,2014-15,23.0,TOT,NBA,66,63.0,2149.0,14.1,0.166,0.317,3.2,15.3,9.0,37.3,2.6,1.1,19.5,26.7,91.0,103.0,-2.1,2.9,0.8,0.017,-1.6,0.9,-0.7,0.7,Massachusetts,Black and White,2014,2016,G,6-6,190,"October 10, 1991",Syracuse University,2014-2015,235,"Michael Carter-Williams, PG",Philadelphia 76ers,2300040
67,mario chalmers,2014-15,28.0,MIA,NBA,80,37.0,2368.0,11.7,0.374,0.401,1.2,9.0,5.2,21.0,2.7,0.4,18.2,18.9,100.0,107.0,0.8,2.0,2.8,0.056,-0.6,-0.4,-1.0,0.6,Alaska,Black,2009,2016,G,6-2,190,"May 19, 1986",University of Kansas,2014-2015,157,"Mario Chalmers, PG",Miami Heat,4000000
68,tyson chandler,2014-15,32.0,DAL,NBA,75,75.0,2286.0,20.1,0.0,0.584,14.1,27.4,20.7,5.3,0.9,3.2,16.0,12.8,133.0,103.0,7.2,3.1,10.3,0.216,1.9,2.3,4.2,3.6,California,Black and White,2002,2016,C,7-1,240,"October 2, 1982",,2014-2015,24,"Tyson Chandler, C",Dallas Mavericks,14846888
