Season,Tm,Age,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,state_or_country,Race,seniority,Pos,Ht,Wt,College,SALARY
2014-15,17.0,20.0,81,71.0,2541.0,14.8,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,105.0,101.0,2.2,4.0,6.2,0.117,-1.7,2.1,0.5,1.6,47.0,0,3.0,2,1.0,210.82,222,125.0,1891932.0
2014-15,11.0,30.0,40,40.0,1428.0,21.5,0.222,0.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,106.0,110.0,2.2,0.6,2.9,0.097,3.5,-2.2,1.4,1.2,88.0,1,3.0,12,5.0,203.2,240,111.0,22682985.01
2014-15,20.0,32.0,49,0.0,406.0,14.7,0.0,0.355,8.2,17.0,12.4,1.8,1.5,9.5,14.3,9.1,119.0,100.0,0.5,0.7,1.2,0.142,-3.4,4.8,1.4,0.3,73.0,0,3.0,8,4.0,205.74,245,101.0,3838000.0
2014-15,24.0,32.0,63,3.0,1037.0,9.5,0.584,0.416,6.6,14.0,10.4,6.9,0.9,1.1,12.3,17.6,102.0,106.0,0.5,1.0,1.5,0.07,-1.3,-1.4,-2.7,-0.2,12.0,0,2.0,1,5.0,210.82,260,125.0,1262500.0
2014-15,19.0,29.0,82,82.0,2930.0,12.7,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,107.0,103.0,2.7,3.9,6.6,0.108,0.6,1.3,1.9,2.9,89.0,1,3.0,11,5.0,203.2,215,120.0,8664879.89
2014-15,8.0,26.0,58,4.0,988.0,11.5,0.286,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20.0,97.0,106.0,-0.1,0.9,0.9,0.042,-1.8,0.7,-1.1,0.2,86.0,1,3.0,7,5.0,205.74,235,121.0,3491720.49
2014-15,30.0,28.0,76,76.0,1982.0,15.5,0.0,0.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,112.0,105.0,2.8,2.2,5.0,0.12,-1.3,0.6,-0.7,0.6,50.0,0,2.0,5,4.0,213.36,255,125.0,8458392.46
2014-15,31.0,27.0,82,14.0,1964.0,13.9,0.38,0.317,1.1,7.9,4.4,28.2,1.3,0.1,16.4,19.8,107.0,110.0,2.5,0.9,3.4,0.083,0.2,-2.7,-2.5,-0.3,79.0,1,3.0,7,6.0,182.88,183,117.0,3030000.0
2014-15,28.0,27.0,51,0.0,383.0,14.4,0.0,0.379,11.2,23.3,17.3,5.5,1.1,1.6,19.0,16.3,112.0,101.0,0.6,0.6,1.2,0.147,-2.1,0.4,-1.7,0.0,89.0,1,1.0,6,5.0,205.74,240,85.0,1847037.5
2014-15,30.0,25.0,63,19.0,830.0,11.1,0.599,0.099,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,117.0,110.0,1.1,0.5,1.6,0.092,0.0,-1.4,-1.4,0.1,85.0,1,2.0,5,5.0,205.74,225,95.0,990894.84
2014-15,5.0,30.0,77,10.0,1362.0,15.1,0.312,0.175,1.8,9.0,5.4,29.5,1.2,0.1,10.8,21.2,109.0,110.0,2.1,0.6,2.7,0.096,1.0,-2.5,-1.5,0.2,22.0,0,2.0,9,6.0,182.88,185,51.0,918957.59
2014-15,11.0,29.0,29,22.0,785.0,16.6,0.114,0.296,4.6,14.4,9.3,11.3,0.1,2.9,9.3,26.4,104.0,113.0,0.8,0.2,0.9,0.058,-1.0,-2.7,-3.7,-0.3,63.0,0,2.0,9,2.0,213.36,245,125.0,11615000.0
2014-15,14.0,22.0,82,82.0,2318.0,13.4,0.328,0.229,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,116.0,104.0,3.7,3.0,6.7,0.139,0.5,0.6,1.1,1.8,52.0,1,3.0,3,5.0,203.2,210,122.0,3080419.2
2014-15,16.0,34.0,76,74.0,2271.0,11.3,0.603,0.152,2.6,12.2,7.5,7.2,1.5,1.8,11.6,14.9,108.0,107.0,2.2,2.1,4.3,0.091,0.9,0.7,1.6,2.1,89.0,1,1.0,12,5.0,200.66,226,120.0,3430212.5
2014-15,15.0,33.0,16,1.0,143.0,5.0,0.103,0.308,10.6,10.8,10.7,4.9,1.4,1.1,10.1,15.1,87.0,108.0,-0.1,0.1,0.0,-0.011,-5.0,-0.9,-5.9,-0.1,66.0,1,3.0,9,4.0,213.36,250,110.0,184879.49
2014-15,13.0,29.0,82,43.0,1929.0,16.3,0.047,0.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,112.0,106.0,3.4,1.9,5.3,0.132,-0.4,-0.1,-0.5,0.7,79.0,1,3.0,10,5.0,203.2,250,104.0,6969000.0
2014-15,29.0,26.0,71,71.0,2380.0,13.1,0.515,0.163,2.8,15.6,9.4,20.5,1.7,1.2,17.0,14.6,106.0,103.0,2.0,3.2,5.2,0.105,0.6,2.6,3.1,3.1,76.0,0,2.0,7,1.0,203.2,200,125.0,11883155.0
2014-15,28.0,28.0,70,17.0,1122.0,15.9,0.012,0.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,116.0,103.0,2.3,1.6,3.9,0.166,-0.7,-0.2,-1.0,0.3,40.0,0,2.0,3,2.0,208.28,260,68.0,2097770.0
2014-15,24.0,25.0,75,10.0,1324.0,9.7,0.399,0.302,1.9,16.8,9.6,8.6,2.0,2.1,16.3,15.5,94.0,102.0,-0.4,1.9,1.6,0.057,-3.1,1.3,-1.8,0.1,77.0,1,3.0,3,3.0,195.57999999999998,201,22.0,2020000.0
2014-15,27.0,21.0,63,59.0,2107.0,14.0,0.304,0.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,102.0,105.0,1.3,2.4,3.7,0.085,0.5,-0.1,0.5,1.3,70.0,1,3.0,3,6.0,195.57999999999998,207,119.0,4550332.8
2014-15,18.0,26.0,24,1.0,505.0,10.6,0.16,0.123,2.9,17.9,10.6,11.5,1.6,2.2,14.2,24.2,89.0,106.0,-0.6,0.5,-0.1,-0.007,-4.3,-0.4,-4.7,-0.3,78.0,1,3.0,7,5.0,205.74,235,61.0,197394.4
2014-15,28.0,28.0,62,9.0,1388.0,12.4,0.489,0.211,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,107.0,106.0,1.5,1.4,2.9,0.1,0.6,-1.1,-0.5,0.5,63.0,0,2.0,8,3.0,195.57999999999998,210,125.0,2902487.5
2014-15,23.0,21.0,57,3.0,894.0,11.4,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10.0,17.8,96.0,111.0,-0.1,0.4,0.3,0.017,-3.6,-1.2,-4.8,-0.6,73.0,0,3.0,2,5.0,203.2,245,101.0,5619559.2
2014-15,3.0,22.0,64,21.0,1243.0,15.2,0.0,0.941,13.7,22.6,18.0,2.0,0.7,6.3,16.5,11.6,115.0,99.0,1.8,2.2,4.0,0.156,-3.2,2.8,-0.4,0.5,33.0,0,3.0,4,0.0,205.74,245,125.0,3912131.98
2014-15,31.0,23.0,63,39.0,1196.0,14.7,0.004,0.432,12.8,21.4,17.0,5.6,0.8,1.6,12.9,13.8,118.0,108.0,2.2,0.9,3.1,0.124,-1.0,-0.6,-1.6,0.1,71.0,1,3.0,1,0.0,205.74,250,121.0,512409.36
2014-15,27.0,25.0,29,0.0,180.0,7.7,0.0,0.105,10.3,24.5,17.5,2.6,2.0,0.4,17.9,18.3,88.0,100.0,-0.2,0.3,0.1,0.033,-6.4,-1.0,-7.4,-0.2,81.0,1,3.0,6,2.0,200.66,270,82.0,2020000.0
2014-15,15.0,25.0,81,81.0,2800.0,18.4,0.26,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,107.0,106.0,4.1,2.9,7.0,0.119,1.7,0.9,2.6,3.3,65.0,1,3.0,5,6.0,185.42,190,124.0,13130000.0
2014-15,10.0,25.0,78,28.0,1854.0,11.6,0.444,0.184,3.0,9.8,6.4,5.8,0.9,0.4,11.1,17.2,106.0,111.0,1.7,0.7,2.4,0.062,0.0,-1.9,-1.8,0.1,49.0,0,2.0,1,3.0,203.2,216,125.0,3310780.0
2014-15,14.0,30.0,67,65.0,1583.0,15.8,0.0,0.118,9.9,26.5,18.5,15.4,1.2,5.3,22.1,13.2,110.0,97.0,1.9,3.4,5.2,0.159,-1.4,5.5,4.1,2.4,56.0,0,2.0,10,4.0,213.36,260,83.0,13102702.73
2014-15,28.0,34.0,72,19.0,935.0,10.1,0.548,0.161,3.6,10.2,7.0,7.1,0.5,1.0,4.3,12.5,116.0,107.0,1.3,0.9,2.1,0.11,-0.2,-0.7,-0.9,0.3,16.0,1,2.0,11,5.0,208.28,235,119.0,924395.43
2014-15,2.0,33.0,71,26.0,1692.0,16.4,0.0,0.202,7.0,25.2,15.7,10.3,1.2,0.6,10.2,23.7,102.0,109.0,1.2,1.0,2.2,0.062,-1.8,-1.5,-3.3,-0.6,53.0,0,3.0,12,2.0,205.74,258,123.0,3283510.0
2014-15,18.0,30.0,44,44.0,1556.0,19.8,0.226,0.311,3.6,20.0,12.0,12.0,1.4,1.4,10.1,28.4,106.0,106.0,2.1,1.5,3.6,0.111,1.0,-1.0,-0.1,0.8,86.0,1,3.0,12,2.0,210.82,235,115.0,20850844.0
2014-15,13.0,24.0,77,77.0,2428.0,11.5,0.348,0.099,2.0,8.9,5.4,8.9,1.7,0.5,9.4,21.0,99.0,107.0,0.4,2.1,2.5,0.049,-0.8,-0.9,-1.7,0.2,80.0,1,3.0,5,6.0,187.96,180,117.0,7262921.11
2014-15,31.0,28.0,80,17.0,2087.0,13.9,0.292,0.281,4.2,11.7,7.9,13.8,2.7,0.7,12.7,21.6,101.0,106.0,1.0,2.1,3.1,0.071,-0.8,-0.3,-1.1,0.5,71.0,1,3.0,8,1.0,205.74,186,119.0,4749525.0
2014-15,23.0,24.0,29,7.0,549.0,11.0,0.23,0.156,2.8,12.0,7.3,24.9,2.6,0.9,18.7,12.9,99.0,111.0,0.1,0.2,0.3,0.025,-1.9,-0.6,-2.6,-0.1,84.0,1,3.0,2,6.0,195.57999999999998,189,92.0,286200.67
2014-15,2.0,36.0,35,35.0,1207.0,17.6,0.258,0.338,2.3,16.5,9.1,29.9,2.0,0.5,13.5,34.9,96.0,110.0,-0.4,0.6,0.2,0.006,1.6,-1.3,0.3,0.7,81.0,1,3.0,19,3.0,198.12,212,125.0,23735000.0
2014-15,23.0,26.0,67,4.0,1286.0,12.2,0.367,0.208,2.8,15.1,8.8,8.0,1.7,0.6,10.3,16.3,106.0,113.0,1.1,0.2,1.3,0.049,-0.9,-1.9,-2.8,-0.3,89.0,1,2.0,6,5.0,200.66,209,118.0,5050000.0
2014-15,31.0,23.0,36,2.0,338.0,6.2,0.657,0.129,0.3,16.0,8.3,3.2,1.5,0.9,9.8,10.9,88.0,106.0,-0.2,0.3,0.1,0.019,-3.6,-0.4,-4.0,-0.2,78.0,1,3.0,2,3.0,200.66,205,122.0,1212727.2
2014-15,22.0,22.0,76,43.0,2288.0,12.6,0.388,0.144,1.6,8.7,5.2,25.0,1.5,0.5,10.4,23.9,100.0,108.0,0.8,1.6,2.4,0.05,0.0,-1.9,-1.9,0.1,85.0,1,3.0,2,6.0,185.42,191,109.0,2574045.6
2014-15,22.0,23.0,27,27.0,899.0,13.0,0.227,0.43,2.5,12.1,7.3,15.2,1.0,0.4,12.7,20.8,107.0,109.0,1.1,0.6,1.7,0.089,-0.4,-1.1,-1.6,0.1,70.0,1,3.0,4,6.0,198.12,214,102.0,3064699.56
2014-15,20.0,34.0,78,21.0,1623.0,9.3,0.553,0.154,1.4,12.2,6.6,7.3,1.4,0.2,10.4,12.9,108.0,109.0,1.3,1.0,2.4,0.07,-1.0,-0.5,-1.5,0.2,68.0,1,3.0,13,5.0,200.66,228,116.0,4545000.0
2014-15,9.0,25.0,65,65.0,2513.0,21.3,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1.0,7.7,21.6,122.0,104.0,8.2,3.0,11.2,0.214,4.1,0.6,4.7,4.2,86.0,1,3.0,4,3.0,200.66,220,108.0,2028835.48
2014-15,27.0,32.0,7,0.0,67.0,4.8,0.29,0.129,3.4,6.6,5.0,42.2,0.8,1.2,19.6,27.6,77.0,107.0,-0.2,0.1,-0.2,-0.132,-5.8,-3.3,-9.1,-0.1,87.0,1,3.0,9,6.0,182.88,185,115.0,2945067.08
2014-15,25.0,19.0,8,0.0,23.0,-1.8,0.25,0.0,5.0,5.0,5.0,0.0,0.0,3.5,25.0,31.5,65.0,113.0,-0.1,0.0,-0.1,-0.275,-12.6,-6.3,-18.9,-0.1,69.0,0,3.0,1,5.0,205.74,205,125.0,1472943.6
2014-15,26.0,25.0,58,0.0,838.0,12.3,0.174,0.182,2.6,11.8,7.2,26.6,3.9,0.5,18.6,17.9,93.0,99.0,-0.4,1.5,1.1,0.065,-2.1,1.8,-0.3,0.4,82.0,1,2.0,1,6.0,198.12,213,119.0,824646.8200000001
2014-15,11.0,33.0,42,42.0,1270.0,11.3,0.401,0.09,1.7,9.8,5.6,25.6,1.3,0.0,16.9,16.1,103.0,113.0,0.8,0.1,0.9,0.033,-0.5,-2.6,-3.2,-0.4,64.0,0,2.0,10,6.0,190.5,200,125.0,7168162.91
2014-15,20.0,21.0,82,82.0,2587.0,11.2,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,101.0,109.0,1.1,1.8,2.8,0.052,-0.2,-0.9,-1.0,0.6,84.0,1,3.0,2,6.0,195.57999999999998,205,59.0,2800204.8
2014-15,31.0,23.0,47,21.0,938.0,12.4,0.651,0.159,2.1,8.3,5.1,18.7,1.5,0.3,13.3,21.6,103.0,108.0,0.8,0.7,1.4,0.072,0.7,-2.9,-2.2,-0.1,66.0,1,3.0,2,6.0,182.88,201,54.0,825010.42
2014-15,19.0,20.0,12,0.0,90.0,12.1,0.0,0.793,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,84.0,97.0,-0.2,0.2,0.0,0.019,-8.8,1.0,-7.8,-0.1,55.0,0,3.0,1,4.0,208.28,240,125.0,1201092.0
2014-15,24.0,28.0,70,69.0,2189.0,15.9,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,117.0,104.0,4.3,2.8,7.0,0.154,2.4,0.5,2.9,2.7,65.0,1,3.0,6,5.0,203.2,212,63.0,2466879.55
2014-15,26.0,38.0,66,1.0,1091.0,9.6,0.571,0.14,2.8,11.1,7.0,11.1,2.1,1.1,9.1,19.9,94.0,103.0,-0.5,1.4,1.0,0.043,-1.1,-0.3,-1.4,0.2,82.0,1,1.0,17,3.0,198.12,220,122.0,3951100.81
2014-15,31.0,23.0,66,63.0,2149.0,14.1,0.166,0.317,3.2,15.3,9.0,37.3,2.6,1.1,19.5,26.7,91.0,103.0,-2.1,2.9,0.8,0.017,-1.6,0.9,-0.7,0.7,57.0,1,1.0,2,6.0,198.12,190,111.0,2323040.4
2014-15,18.0,28.0,80,37.0,2368.0,11.7,0.374,0.401,1.2,9.0,5.2,21.0,2.7,0.4,18.2,18.9,100.0,107.0,0.8,2.0,2.8,0.056,-0.6,-0.4,-1.0,0.6,29.0,1,3.0,7,6.0,187.96,190,121.0,4040000.0
2014-15,5.0,32.0,75,75.0,2286.0,20.1,0.0,0.584,14.1,27.4,20.7,5.3,0.9,3.2,16.0,12.8,133.0,103.0,7.2,3.1,10.3,0.216,1.9,2.3,4.2,3.6,89.0,1,1.0,14,4.0,215.9,240,125.0,14995356.88
2014-15,8.0,27.0,78,75.0,2471.0,13.2,0.416,0.146,4.1,17.2,10.4,8.9,1.2,0.9,9.6,20.1,104.0,109.0,2.1,1.5,3.6,0.071,0.5,-0.4,0.2,1.3,74.0,1,3.0,7,5.0,203.2,225,33.0,6825492.13
2014-15,12.0,23.0,8,0.0,69.0,5.8,0.474,0.316,1.7,6.6,4.2,16.4,4.5,1.1,15.6,16.8,80.0,103.0,-0.1,0.1,0.0,-0.021,-4.4,0.7,-3.7,0.0,89.0,1,3.0,0,6.0,182.88,185,17.0,500352.99
2014-15,22.0,26.0,4,1.0,29.0,-2.6,0.333,0.0,8.0,15.9,12.0,0.0,1.8,0.0,7.7,20.6,61.0,106.0,-0.1,0.0,-0.1,-0.15,-10.6,-5.7,-16.3,-0.1,89.0,1,3.0,0,3.0,195.57999999999998,209,100.0,382800.1
2014-15,29.0,26.0,10,0.0,76.0,9.2,0.55,0.0,4.3,23.5,14.1,1.9,0.7,0.9,16.7,14.1,102.0,103.0,0.0,0.1,0.1,0.086,-2.9,-1.3,-4.2,0.0,64.0,0,2.0,2,5.0,205.74,224,125.0,1383700.0
2014-15,31.0,26.0,75,25.0,1831.0,10.9,0.315,0.145,0.9,9.3,5.1,22.2,1.6,0.7,14.3,17.5,99.0,109.0,0.4,1.0,1.4,0.036,-1.5,-1.5,-3.0,-0.5,85.0,1,3.0,4,6.0,187.96,175,36.0,2058588.06
2014-15,6.0,27.0,45,45.0,1565.0,17.5,0.293,0.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,112.0,110.0,3.0,0.8,3.8,0.116,2.8,-1.3,1.5,1.4,89.0,1,3.0,6,6.0,182.88,175,120.0,4845640.64
2014-15,21.0,34.0,66,2.0,1101.0,11.2,0.237,0.257,8.9,15.3,12.2,11.6,1.6,1.8,13.8,12.8,108.0,105.0,1.0,1.2,2.2,0.097,-1.1,1.2,0.1,0.6,52.0,1,2.0,11,5.0,208.28,255,121.0,2264423.03
2014-15,26.0,27.0,70,70.0,2225.0,18.6,0.314,0.282,1.5,9.2,5.4,28.0,2.1,0.5,13.6,23.7,110.0,104.0,4.2,2.7,6.8,0.147,3.2,-0.5,2.7,2.6,61.0,1,3.0,8,6.0,185.42,175,107.0,8781158.16
2014-15,22.0,23.0,16,0.0,87.0,11.4,0.0,0.955,13.3,19.8,16.6,1.8,3.7,2.8,8.8,18.0,97.0,98.0,0.0,0.2,0.2,0.092,-4.4,0.4,-4.0,0.0,87.0,1,2.0,0,5.0,205.74,260,57.0,60282.86
2014-15,7.0,30.0,50,12.0,828.0,7.4,0.539,0.145,3.1,11.7,7.4,9.9,0.7,1.0,15.2,21.3,88.0,106.0,-0.9,0.8,-0.1,-0.008,-2.8,-1.5,-4.3,-0.5,75.0,1,3.0,3,5.0,205.74,239,102.0,3166350.0
2014-15,22.0,22.0,15,0.0,159.0,14.5,0.29,0.261,2.2,10.8,6.5,17.0,1.3,0.0,13.5,25.6,102.0,109.0,0.1,0.1,0.2,0.067,-1.2,-3.2,-4.4,-0.1,42.0,1,3.0,1,6.0,185.42,165,35.0,93439.14
2014-15,6.0,24.0,59,59.0,2013.0,25.2,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4.0,16.3,34.1,104.0,101.0,2.8,3.2,6.0,0.144,1.4,3.3,4.7,3.4,65.0,1,3.0,5,0.0,210.82,270,124.0,14893460.0
2014-15,1.0,24.0,70,49.0,1956.0,14.7,0.59,0.287,3.4,14.6,8.8,9.8,2.5,1.3,13.1,21.8,104.0,104.0,1.6,2.3,4.0,0.097,0.6,-0.5,0.2,1.1,87.0,1,3.0,2,5.0,205.74,215,21.0,1010000.0
2014-15,29.0,22.0,51,9.0,683.0,8.7,0.556,0.105,1.1,10.1,5.7,8.1,1.4,1.6,8.6,11.5,108.0,105.0,0.5,0.8,1.3,0.088,-1.3,1.0,-0.3,0.3,89.0,1,3.0,2,3.0,198.12,210,100.0,870620.0
2014-15,16.0,34.0,64,4.0,1703.0,16.6,0.434,0.3,1.2,6.9,4.1,14.9,1.8,0.7,8.8,27.6,106.0,109.0,2.5,1.2,3.6,0.102,1.7,-2.7,-1.0,0.4,80.0,1,3.0,15,6.0,195.57999999999998,195,109.0,5504500.0
2014-15,31.0,24.0,82,17.0,1647.0,13.9,0.382,0.259,4.7,14.9,9.7,8.6,2.2,1.2,7.5,17.5,108.0,104.0,1.9,2.0,3.9,0.113,-0.1,0.6,0.6,1.1,84.0,1,3.0,3,5.0,198.12,235,108.0,924395.43
2014-15,30.0,27.0,66,27.0,1652.0,8.9,0.029,0.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,102.0,108.0,0.5,1.2,1.6,0.047,-2.6,1.0,-1.6,0.2,78.0,1,3.0,6,5.0,203.2,230,98.0,723203.43
2014-15,15.0,24.0,2,0.0,8.0,-11.4,0.333,0.0,0.0,27.7,13.7,15.6,0.0,0.0,0.0,16.5,21.0,107.0,-0.1,0.0,0.0,-0.298,-14.3,-1.6,-15.9,0.0,77.0,1,1.0,2,6.0,187.96,185,123.0,48508.28
2014-15,14.0,26.0,80,80.0,2613.0,28.0,0.482,0.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,122.0,101.0,11.5,4.1,15.7,0.288,9.6,0.3,9.9,7.9,85.0,1,1.0,6,6.0,190.5,185,48.0,10735505.13
2014-15,11.0,33.0,32,21.0,544.0,11.8,0.0,0.154,10.9,25.1,17.8,8.6,1.4,6.3,21.9,15.0,90.0,104.0,-0.4,0.7,0.3,0.023,-5.2,3.0,-2.2,0.0,13.0,0,3.0,13,4.0,210.82,255,20.0,4092042.27
2014-15,31.0,23.0,47,0.0,397.0,9.6,0.715,0.079,2.2,7.2,4.7,9.2,0.8,0.2,10.5,21.3,99.0,112.0,0.1,0.1,0.2,0.022,-0.3,-4.6,-4.9,-0.3,72.0,1,3.0,2,6.0,193.04,205,71.0,824646.8200000001
2014-15,31.0,27.0,21,1.0,209.0,15.1,0.449,0.011,1.5,13.9,7.6,7.6,0.5,2.6,9.1,20.7,107.0,107.0,0.2,0.2,0.4,0.095,-0.3,-1.8,-2.1,0.0,63.0,0,2.0,1,5.0,203.2,215,125.0,1767500.0
2014-15,30.0,21.0,68,68.0,2455.0,30.8,0.01,0.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122.0,100.0,9.9,4.2,14.0,0.274,4.2,3.0,7.1,5.7,87.0,1,1.0,3,2.0,208.28,253,124.0,5663312.4
2014-15,2.0,25.0,79,24.0,1840.0,20.0,0.0,0.403,13.3,23.1,18.0,8.3,1.4,4.3,9.5,14.8,124.0,107.0,4.6,1.6,6.3,0.164,1.1,1.9,3.0,2.3,62.0,0,3.0,5,5.0,208.28,240,122.0,990894.84
2014-15,18.0,23.0,4,0.0,22.0,-5.0,1.0,0.0,0.0,10.7,5.5,6.6,0.0,0.0,14.3,15.0,53.0,113.0,-0.1,0.0,-0.1,-0.172,-7.5,-3.9,-11.5,-0.1,72.0,1,3.0,0,6.0,195.57999999999998,215,123.0,30141.43
2014-15,31.0,26.0,34,4.0,344.0,8.2,0.504,0.043,3.4,21.0,12.4,7.5,1.8,1.1,13.8,22.1,85.0,101.0,-0.6,0.5,0.0,-0.001,-4.4,-1.0,-5.4,-0.3,89.0,1,1.0,5,5.0,210.82,220,94.0,54376.38
2014-15,18.0,29.0,72,72.0,2421.0,15.5,0.28,0.319,5.2,13.3,9.3,9.9,1.4,0.8,10.7,19.5,110.0,109.0,3.7,1.6,5.4,0.106,1.1,-0.6,0.5,1.5,20.0,0,3.0,11,5.0,205.74,220,123.0,9811605.61
