Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
lou amundson,2013-14,31.0,TOT,NBA,19,0.0,185.0,9.1,0.0,0.75,17.3,17.2,17.3,4.7,2.5,5.0,24.8,13.9,91.0,105.0,-0.1,0.2,0.1,0.024,-3.4,2.1,-1.3,0.0,California,Black and White,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas",2013-2014,382,"Lou Amundson, PF",Chicago Bulls,48854
chris andersen,2013-14,35.0,MIA,NBA,72,0.0,1396.0,18.5,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,130.0,102.0,3.8,2.2,6.0,0.205,0.1,1.5,1.6,1.3,California,Black and White,2002,2016,F-C,6-10,245,"July 7, 1978",Blinn College,2013-2014,267,"Chris Andersen, PF",Miami Heat,1399507
alan anderson,2013-14,31.0,BRK,NBA,78,26.0,1773.0,9.5,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,103.0,111.0,0.8,0.9,1.7,0.047,-0.8,-1.4,-2.2,-0.1,Minnesota,Black,2006,2016,G-F,6-6,220,"October 16, 1982",Michigan State University,2013-2014,306,"Alan Anderson, SG",Brooklyn Nets,947907
ryan anderson,2013-14,25.0,NOP,NBA,22,14.0,795.0,18.8,0.463,0.175,9.5,11.3,10.4,3.6,0.7,0.7,5.0,22.9,120.0,115.0,2.2,0.1,2.3,0.138,4.3,-4.5,-0.1,0.4,California,Black and White,2009,2016,F,6-10,240,"May 6, 1988",University of California,2013-2014,70,"Ryan Anderson, PF",New Orleans Pelicans,8308500
giannis antetokounmpo,2013-14,19.0,MIL,NBA,77,23.0,1897.0,10.8,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,99.0,110.0,0.1,1.1,1.2,0.031,-2.5,0.7,-1.8,0.1,Greece,Black,2014,2016,F-G,6-11,222,"December 6, 1994",,2013-2014,241,"Giannis Antetokounmpo, SF",Milwaukee Bucks,1792560
carmelo anthony,2013-14,29.0,NYK,NBA,77,77.0,2982.0,24.4,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,113.0,108.0,8.1,2.5,10.7,0.172,4.6,-1.0,3.6,4.2,New York,Black,2004,2016,F,6-8,240,"May 29, 1984",Syracuse University,2013-2014,5,"Carmelo Anthony, SF",New York Knicks,21388953
joel anthony,2013-14,31.0,TOT,NBA,33,0.0,186.0,8.1,0.0,0.25,9.1,14.6,11.8,1.6,0.8,5.2,7.8,9.3,96.0,107.0,0.0,0.2,0.2,0.044,-5.7,1.0,-4.7,-0.1,Canada,Black,2008,2016,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",2013-2014,151,"Joel Anthony, C",Miami Heat,3800000
pero antic,2013-14,31.0,ATL,NBA,50,26.0,925.0,11.7,0.582,0.224,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,103.0,107.0,0.5,0.9,1.4,0.075,-0.5,-0.9,-1.4,0.1,Macedonia,White,2014,2015,F,6-11,260,"July 29, 1982",,2013-2014,283,"Pero Antic, PF",Atlanta Hawks,1200000
trevor ariza,2013-14,28.0,WAS,NBA,77,77.0,2723.0,15.8,0.518,0.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,113.0,104.0,4.3,3.7,8.0,0.141,2.3,1.1,3.4,3.6,California,Black,2005,2016,F,6-8,215,"June 30, 1985","University of California, Los Angeles",2013-2014,77,"Trevor Ariza, SF",Washington Wizards,7727280
hilton armstrong,2013-14,29.0,GSW,NBA,15,1.0,97.0,17.0,0.0,0.842,21.8,31.0,26.5,7.1,2.1,3.1,18.7,14.5,108.0,96.0,0.1,0.2,0.3,0.162,-2.5,3.1,0.6,0.1,New York,Black,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut,2013-2014,334,"Hilton Armstrong, PF",Golden State Warriors,660619
darrell arthur,2013-14,25.0,DEN,NBA,68,1.0,1161.0,9.4,0.156,0.151,4.8,14.7,9.8,8.0,1.6,3.0,11.7,18.1,94.0,107.0,-0.5,1.2,0.7,0.029,-3.8,1.0,-2.8,-0.2,Texas,Black,2009,2016,F,6-9,235,"March 25, 1988",University of Kansas,2013-2014,172,"Darrell Arthur, PF",Denver Nuggets,3231683
omer asik,2013-14,27.0,HOU,NBA,48,19.0,968.0,14.0,0.0,0.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,109.0,103.0,1.0,1.5,2.4,0.121,-3.1,0.7,-2.4,-0.1,Turkey,White,2011,2016,C,7-0,255,"July 4, 1986",,2013-2014,69,"Omer Asik, C",Houston Rockets,8374646
dj augustin,2013-14,26.0,TOT,NBA,71,9.0,1939.0,16.2,0.462,0.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,113.0,105.0,3.8,2.4,6.2,0.154,2.6,-2.2,0.4,1.2,Louisiana,Black,2009,2016,G,6-0,183,"November 10, 1987",University of Texas at Austin,2013-2014,336,"D.J. Augustin, PG",Toronto Raptors,650215
gustavo ayon,2013-14,28.0,ATL,NBA,26,14.0,429.0,12.9,0.0,0.196,11.4,22.3,16.9,10.0,3.0,1.8,20.7,14.8,98.0,101.0,0.0,0.7,0.7,0.078,-3.2,3.0,-0.2,0.2,Mexico,Others,2012,2014,C,6-10,250,"April 1, 1985",,2013-2014,259,"Gustavo Ayon, PF",Atlanta Hawks,1500000
jeff ayres,2013-14,26.0,SAS,NBA,73,10.0,952.0,11.1,0.0,0.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,110.0,103.0,1.0,1.4,2.4,0.121,-1.6,2.1,0.5,0.6,California,Black and White,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University,2013-2014,242,"Jeff Ayres, PF",San Antonio Spurs,1750000
chris babb,2013-14,23.0,BOS,NBA,14,0.0,132.0,3.7,0.9,0.0,3.3,11.5,7.3,3.3,2.3,0.0,9.1,11.1,82.0,108.0,-0.1,0.1,0.0,-0.008,-3.7,-0.7,-4.4,-0.1,Texas,Black,2014,2014,G,6-5,225,"February 14, 1990",Iowa State University,2013-2014,375,"Chris Babb, SG",Boston Celtics,77852
luke babbitt,2013-14,24.0,NOP,NBA,27,2.0,473.0,12.1,0.617,0.117,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17.0,109.0,112.0,0.5,0.2,0.7,0.074,0.5,-1.9,-1.4,0.1,Ohio,White,2011,2016,F,6-9,225,"June 20, 1989","University of Nevada, Reno",2013-2014,360,"Luke Babbitt, SF",New Orleans Pelicans,387995
leandro barbosa,2013-14,31.0,PHO,NBA,20,0.0,368.0,11.5,0.191,0.298,1.5,9.7,5.6,13.4,1.0,0.8,11.4,20.0,103.0,110.0,0.2,0.2,0.4,0.058,-2.2,-1.8,-3.9,-0.2,Brazil,Black,2004,2016,G,6-3,194,"November 28, 1982",,2013-2014,359,"Leandro Barbosa, SG",Phoenix Suns,410936
jj barea,2013-14,29.0,MIN,NBA,79,1.0,1471.0,11.6,0.352,0.152,1.2,10.5,5.7,32.7,0.9,0.0,15.2,23.9,98.0,110.0,-0.1,0.9,0.7,0.024,-0.9,-2.7,-3.6,-0.6,Puerto Rico,White,2007,2016,G,6-0,185,"June 26, 1984",Northeastern University,2013-2014,127,"J.J. Barea, PG",Minnesota Timberwolves,4687000
andrea bargnani,2013-14,28.0,NYK,NBA,42,39.0,1257.0,14.5,0.215,0.203,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,103.0,110.0,0.8,0.7,1.5,0.058,-1.4,-1.0,-2.4,-0.1,Italy,White,2007,2016,F-C,7-0,245,"October 26, 1985",,2013-2014,43,"Andrea Bargnani, C",New York Knicks,11862500
harrison barnes,2013-14,21.0,GSW,NBA,78,24.0,2204.0,9.8,0.28,0.267,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,100.0,105.0,0.4,2.8,3.2,0.07,-2.3,0.9,-1.4,0.3,Iowa,Black,2013,2016,F,6-8,210,"May 30, 1992",University of North Carolina,2013-2014,192,"Harrison Barnes, SF",Golden State Warriors,2923920
matt barnes,2013-14,33.0,LAC,NBA,63,40.0,1735.0,12.0,0.537,0.171,4.0,14.4,9.3,10.6,1.6,1.2,13.0,16.6,107.0,106.0,1.5,2.0,3.5,0.097,0.7,0.8,1.5,1.5,California,Black and White,2004,2016,F,6-7,226,"March 9, 1980","University of California, Los Angeles",2013-2014,169,"Matt Barnes, SF",Los Angeles Clippers,3250000
will barton,2013-14,23.0,POR,NBA,41,0.0,387.0,13.5,0.212,0.205,4.5,16.0,10.3,13.3,1.2,1.3,9.6,21.2,103.0,107.0,0.3,0.4,0.6,0.078,-1.9,-0.7,-2.7,-0.1,Maryland,Black and White,2013,2016,G,6-6,175,"January 6, 1991",University of Memphis,2013-2014,327,"Will Barton, SF",Portland Trail Blazers,788872
brandon bass,2013-14,28.0,BOS,NBA,82,73.0,2266.0,15.0,0.008,0.33,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,111.0,108.0,3.2,1.9,5.1,0.107,-1.3,0.2,-1.2,0.5,Louisiana,Black,2006,2016,F,6-8,250,"April 30, 1985",Louisiana State University,2013-2014,94,"Brandon Bass, PF",Boston Celtics,6450000
shane battier,2013-14,35.0,MIA,NBA,73,56.0,1468.0,8.7,0.764,0.084,3.0,8.6,5.9,6.0,1.8,2.3,6.9,10.0,110.0,108.0,1.0,1.4,2.4,0.078,0.1,0.7,0.8,1.1,Michigan,Black and White,2002,2014,F,6-8,220,"September 9, 1978",Duke University,2013-2014,167,"Shane Battier, SF",Miami Heat,3270000
nicolas batum,2013-14,25.0,POR,NBA,82,82.0,2956.0,15.8,0.491,0.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,113.0,106.0,4.8,3.1,7.9,0.128,2.4,1.8,4.2,4.6,France,White,2009,2016,F-G,6-8,200,"December 14, 1988",,2013-2014,45,"Nicolas Batum, SG",Portland Trail Blazers,11295250
jerryd bayless,2013-14,25.0,TOT,NBA,72,19.0,1686.0,12.0,0.344,0.191,1.5,8.6,5.0,18.5,1.9,0.4,10.9,20.1,103.0,109.0,1.1,1.3,2.4,0.069,-0.4,-1.4,-1.8,0.1,Arizona,Black,2009,2016,G,6-3,200,"August 20, 1988",University of Arizona,2013-2014,184,"Jerryd Bayless, PG",Memphis Grizzlies,3135000
bradley beal,2013-14,20.0,WAS,NBA,73,73.0,2530.0,14.3,0.299,0.164,2.4,10.2,6.3,16.0,1.4,0.6,9.4,24.3,103.0,107.0,1.6,2.4,4.0,0.076,0.2,-1.3,-1.1,0.5,Missouri,Black,2013,2016,G,6-5,207,"June 28, 1993",University of Florida,2013-2014,137,"Bradley Beal, SG",Washington Wizards,4319280
marco belinelli,2013-14,27.0,SAS,NBA,80,25.0,2016.0,15.0,0.422,0.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,114.0,105.0,3.5,2.4,5.9,0.14,1.9,-0.3,1.7,1.9,Italy,White,2008,2016,G-F,6-5,210,"March 25, 1986",,2013-2014,198,"Marco Belinelli, SG",San Antonio Spurs,2750000
anthony bennett,2013-14,20.0,CLE,NBA,52,0.0,663.0,6.9,0.236,0.307,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,85.0,107.0,-1.1,0.7,-0.4,-0.028,-5.8,-1.5,-7.3,-0.9,Canada,Black,2014,2016,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas",2013-2014,110,"Anthony Bennett, PF",Cleveland Cavaliers,5324280
patrick beverley,2013-14,25.0,HOU,NBA,56,55.0,1751.0,12.4,0.53,0.212,4.9,7.4,6.2,12.8,2.2,1.0,11.2,14.8,115.0,108.0,2.7,1.6,4.2,0.116,1.9,0.6,2.5,2.0,Illinois,Black,2013,2016,G,6-1,185,"July 12, 1988",University of Arkansas,2013-2014,328,"Patrick Beverley, PG",Houston Rockets,788872
chauncey billups,2013-14,37.0,DET,NBA,19,7.0,309.0,5.3,0.608,0.152,1.3,8.9,4.9,18.7,1.3,0.3,22.9,15.1,87.0,113.0,-0.3,0.1,-0.3,-0.042,-3.8,-2.4,-6.3,-0.3,Colorado,Black,1998,2014,G,6-3,202,"September 25, 1976",University of Colorado,2013-2014,210,"Chauncey Billups, PG",Detroit Pistons,2500000
bismack biyombo,2013-14,21.0,CHA,NBA,77,9.0,1072.0,13.3,0.0,0.618,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,115.0,99.0,1.1,2.1,3.2,0.144,-4.7,2.2,-2.5,-0.1,Congo,Black,2012,2016,C-F,6-9,245,"August 28, 1992",,2013-2014,188,"Bismack Biyombo, C",Charlotte Bobcats,3049920
steve blake,2013-14,33.0,TOT,NBA,55,28.0,1498.0,11.0,0.595,0.122,0.9,10.4,5.7,28.8,1.8,0.4,21.5,13.8,103.0,109.0,0.7,1.1,1.8,0.058,-0.9,-0.7,-1.6,0.2,Florida,White,2004,2016,G,6-3,172,"February 26, 1980",University of Maryland,2013-2014,146,"Steve Blake, PG",Los Angeles Lakers,4000000
andray blatche,2013-14,27.0,BRK,NBA,73,7.0,1618.0,18.8,0.08,0.328,8.9,19.9,14.4,12.8,2.4,2.0,12.5,25.6,104.0,105.0,1.6,2.1,3.7,0.109,-0.6,0.7,0.1,0.8,New York,Black,2006,2014,F,6-11,235,"August 22, 1986",,2013-2014,270,"Andray Blatche, C",Brooklyn Nets,1375604
eric bledsoe,2013-14,24.0,PHO,NBA,43,40.0,1416.0,19.6,0.252,0.426,2.1,13.8,8.0,27.0,2.4,0.8,17.8,24.9,110.0,106.0,2.6,1.6,4.1,0.14,2.3,0.6,2.9,1.8,Alabama,Black,2011,2016,G,6-1,190,"December 9, 1989",University of Kentucky,2013-2014,204,"Eric Bledsoe, PG",Phoenix Suns,2626474
keith bogans,2013-14,33.0,BOS,NBA,6,0.0,55.0,9.9,1.0,0.5,0.0,6.4,3.1,7.7,0.9,0.0,12.0,6.7,153.0,113.0,0.1,0.0,0.1,0.121,0.1,-2.2,-2.1,0.0,Virginia,Black,2004,2014,G-F,6-5,215,"May 12, 1980",University of Kentucky,2013-2014,117,"Keith Bogans, SG",Boston Celtics,5058198
andrew bogut,2013-14,29.0,GSW,NBA,67,67.0,1769.0,17.0,0.0,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,115.0,96.0,2.4,4.0,6.5,0.176,-1.2,5.6,4.4,2.8,Australia,White,2006,2016,C,7-0,260,"November 28, 1984",University of Utah,2013-2014,29,"Andrew Bogut, C",Golden State Warriors,14000000
matt bonner,2013-14,33.0,SAS,NBA,61,0.0,690.0,11.2,0.598,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,114.0,103.0,0.8,1.0,1.8,0.123,-0.4,0.7,0.3,0.4,New Hampshire,White,2005,2016,F,6-10,235,"April 5, 1980",University of Florida,2013-2014,147,"Matt Bonner, C",San Antonio Spurs,3945000
trevor booker,2013-14,26.0,WAS,NBA,72,45.0,1553.0,15.0,0.005,0.189,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,114.0,104.0,2.3,2.0,4.3,0.132,-1.1,1.3,0.2,0.8,South Carolina,Black,2011,2016,F,6-8,228,"November 25, 1987",Clemson University,2013-2014,213,"Trevor Booker, PF",Washington Wizards,2350820
carlos boozer,2013-14,32.0,CHI,NBA,76,76.0,2141.0,14.4,0.002,0.197,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,95.0,98.0,-0.9,4.3,3.4,0.076,-4.0,0.6,-3.4,-0.7,Germany,Black,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University,2013-2014,19,"Carlos Boozer, PF",Chicago Bulls,15300000
chris bosh,2013-14,29.0,MIA,NBA,79,79.0,2531.0,19.0,0.229,0.285,5.1,20.3,13.0,5.8,1.7,2.7,10.4,22.6,112.0,104.0,4.6,3.4,8.0,0.152,0.5,0.0,0.5,1.6,Texas,Black,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology,2013-2014,8,"Chris Bosh, PF",Miami Heat,19067500
avery bradley,2013-14,23.0,BOS,NBA,60,58.0,1855.0,12.7,0.242,0.136,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,100.0,109.0,0.4,1.4,1.8,0.046,-1.1,-1.4,-2.5,-0.2,Washington,Black,2011,2016,G,6-2,180,"November 26, 1990",University of Texas at Austin,2013-2014,208,"Avery Bradley, PG",Boston Celtics,2511432
corey brewer,2013-14,27.0,MIN,NBA,81,81.0,2609.0,12.7,0.261,0.281,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,108.0,107.0,2.4,2.7,5.2,0.095,0.4,1.3,1.7,2.4,Tennessee,Black,2008,2016,F-G,6-9,186,"March 5, 1986",University of Florida,2013-2014,122,"Corey Brewer, SG",Minnesota Timberwolves,5000000
ronnie brewer,2013-14,28.0,TOT,NBA,24,3.0,160.0,3.4,0.533,0.133,1.5,7.9,4.9,8.1,1.9,0.5,11.2,4.9,77.0,109.0,-0.1,0.1,0.0,0.004,-4.6,1.2,-3.4,-0.1,Oregon,Black,2007,2014,G-F,6-7,220,"March 20, 1985",University of Arkansas,2013-2014,376,"Ronnie Brewer, SF",Houston Rockets,69792
marshon brooks,2013-14,25.0,TOT,NBA,35,0.0,316.0,15.5,0.2,0.352,3.4,15.5,9.3,12.9,2.2,0.9,14.3,23.4,102.0,109.0,0.1,0.3,0.4,0.06,-2.1,-1.6,-3.7,-0.1,New Jersey,Black,2012,2014,G-F,6-5,200,"January 26, 1989",Providence College,2013-2014,281,"MarShon Brooks, SG",Los Angeles Lakers,1210080
shannon brown,2013-14,28.0,TOT,NBA,29,1.0,251.0,4.7,0.03,0.318,3.2,9.5,6.4,5.0,2.7,0.0,19.3,17.1,78.0,107.0,-0.5,0.3,-0.3,-0.05,-6.8,-0.3,-7.0,-0.3,Illinois,Black,2007,2015,G,6-4,205,"November 29, 1985",Michigan State University,2013-2014,368,"Shannon Brown, PG",San Antonio Spurs,188438
kobe bryant,2013-14,35.0,LAL,NBA,6,6.0,177.0,10.7,0.219,0.288,1.2,14.5,7.8,34.6,1.9,0.4,29.2,28.7,84.0,111.0,-0.5,0.1,-0.4,-0.097,-4.7,-1.3,-5.9,-0.2,Pennsylvania,Black,1997,2016,G-F,6-6,212,"August 23, 1978",,2013-2014,1,"Kobe Bryant, SF",Los Angeles Lakers,30453805
reggie bullock,2013-14,22.0,LAC,NBA,43,0.0,395.0,6.7,0.603,0.074,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,93.0,108.0,-0.2,0.3,0.2,0.019,-2.9,-1.8,-4.7,-0.3,Maryland ,Black,2014,2016,G-F,6-7,205,"March 16, 1991",University of North Carolina,2013-2014,287,"Reggie Bullock, SF",Los Angeles Clippers,1149000
trey burke,2013-14,21.0,UTA,NBA,70,68.0,2262.0,12.6,0.375,0.126,1.8,9.0,5.3,29.4,1.0,0.2,12.2,21.8,101.0,115.0,1.0,0.0,0.9,0.02,0.5,-3.0,-2.5,-0.3,Ohio,Black,2014,2016,G,6-1,191,"November 12, 1992",University of Michigan,2013-2014,212,"Trey Burke, PG",Utah Jazz,2438760
alec burks,2013-14,22.0,UTA,NBA,78,12.0,2193.0,15.8,0.172,0.449,3.0,10.7,6.8,16.9,1.7,0.5,13.0,23.9,106.0,113.0,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5,Missouri,Black,2012,2016,G,6-6,214,"July 20, 1991",University of Colorado,2013-2014,220,"Alec Burks, SG",Utah Jazz,2202000
caron butler,2013-14,33.0,TOT,NBA,56,13.0,1419.0,12.2,0.461,0.139,1.7,16.8,9.2,9.6,1.7,1.0,9.5,20.1,102.0,108.0,0.6,1.2,1.8,0.062,-0.7,-1.4,-2.1,0.0,Wisconsin,Black,2003,2016,F,6-7,228,"March 13, 1980",University of Connecticut,2013-2014,366,"Caron Butler, SF",Oklahoma City Thunder,244489
jimmy butler,2013-14,24.0,CHI,NBA,67,67.0,2591.0,13.5,0.346,0.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,108.0,100.0,2.4,4.6,7.1,0.131,0.0,2.4,2.4,2.9,Texas,Black,2012,2016,G-F,6-7,220,"September 14, 1989",Marquette University,2013-2014,292,"Jimmy Butler, SG",Chicago Bulls,1112880
rasual butler,2013-14,34.0,IND,NBA,50,2.0,378.0,12.2,0.564,0.127,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,113.0,102.0,0.5,0.6,1.1,0.138,-0.6,-0.3,-0.9,0.1,Pennsylvania,Black,2003,2016,G-F,6-7,215,"May 23, 1979",La Salle University,2013-2014,315,"Rasual Butler, SF",Indiana Pacers,884293
dwight buycks,2013-14,24.0,TOR,NBA,14,0.0,146.0,7.2,0.354,0.188,3.2,15.2,9.2,10.6,2.9,0.0,16.1,19.3,84.0,103.0,-0.2,0.2,0.0,-0.009,-4.8,0.2,-4.5,-0.1,Wisconsin,Black,2014,2015,G,6-3,190,"March 6, 1989",Marquette University,2013-2014,333,"Dwight Buycks, PG",Toronto Raptors,700000
andrew bynum,2013-14,26.0,TOT,NBA,26,19.0,516.0,15.2,0.0,0.218,11.4,20.3,15.8,9.7,0.6,4.7,12.1,24.3,95.0,105.0,-0.2,0.6,0.4,0.038,-4.1,0.6,-3.4,-0.2,New Jersey,Black,2006,2014,C,7-0,285,"October 27, 1987",,2013-2014,304,"Andrew Bynum, C",Indiana Pacers,1000000
will bynum,2013-14,31.0,DET,NBA,56,3.0,1054.0,14.4,0.144,0.281,2.4,8.2,5.1,32.5,1.9,0.5,17.6,23.8,102.0,112.0,0.6,0.4,1.0,0.047,-0.7,-2.8,-3.5,-0.4,Illinois,Black,2006,2015,G,6-0,185,"January 4, 1983",Georgia Institute of Technology,2013-2014,196,"Will Bynum, PG",Detroit Pistons,2790343
nick calathes,2013-14,24.0,MEM,NBA,71,7.0,1173.0,12.3,0.196,0.232,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,97.0,104.0,-0.1,1.6,1.5,0.062,-1.9,0.8,-1.1,0.3,Florida,White,2014,2015,G,6-6,213,"February 7, 1989",University of Florida,2013-2014,351,"Nick Calathes, SG",Memphis Grizzlies,490180
jose calderon,2013-14,32.0,DAL,NBA,81,81.0,2468.0,15.2,0.568,0.084,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,120.0,112.0,5.4,0.8,6.3,0.122,3.3,-2.0,1.3,2.1,Spain,White,2006,2016,G,6-3,200,"September 28, 1981",,2013-2014,88,"Jose Calderon, PG",Dallas Mavericks,6791570
kentavious caldwell-pope,2013-14,20.0,DET,NBA,80,41.0,1583.0,9.4,0.402,0.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,106.0,111.0,1.0,0.8,1.8,0.055,-1.2,-0.8,-2.1,0.0,Georgia,Black,2014,2016,G,6-5,205,"February 18, 1993",University of Georgia,2013-2014,201,"Kentavious Caldwell-Pope, SG",Detroit Pistons,2653080
